Date,Open,High,Low,Close
05/29/2020,"3,004.08","3,068.67","2,969.75","3,044.31"
05/22/2020,"2,913.86","2,980.29","2,913.86","2,955.45"
05/15/2020,"2,915.46","2,945.82","2,766.64","2,863.70"
05/08/2020,"2,815.01","2,932.16","2,797.85","2,929.80"
05/01/2020,"2,854.65","2,954.86","2,821.61","2,830.71"
04/24/2020,"2,845.62","2,868.98","2,727.10","2,836.74"
04/17/2020,"2,782.46","2,879.22","2,721.17","2,874.56"
04/09/2020,"2,578.28","2,818.57","2,574.57","2,789.82"
04/03/2020,"2,558.98","2,641.39","2,447.49","2,488.65"
03/27/2020,"2,290.71","2,637.01","2,191.86","2,541.47"
03/20/2020,"2,508.59","2,562.98","2,280.52","2,304.92"
03/13/2020,"2,863.89","2,882.59","2,478.86","2,711.02"
03/06/2020,"2,974.28","3,136.72","2,901.54","2,972.37"
