"date","score","Effective date","S&P 500","change","percentage change","Gain (Binary)"
2020-03-29,0.0864068958348619,2020-03-30,2626.65,85.18,0.033516036,1
2020-03-30,0.145822669903974,2020-03-31,2584.59,-42.06,-0.016012792,0
2020-03-31,0.106745254072886,2020-04-01,2470.5,-114.09,-0.044142398,0
2020-04-01,0.07533537554724,2020-04-02,2526.9,56.4,0.022829387,1
2020-04-02,0.120003499402044,2020-04-03,2488.65,-38.25,-0.015137125,0
2020-04-03,0.129907185845841,2020-04-06,2663.68,175.03,0.070331304,1
2020-04-04,0.123799000245281,2020-04-07,2659.41,-4.27,-0.001603045,0
2020-04-05,0.097487850633546,2020-04-08,2749.98,90.57,0.034056426,1
2020-04-06,0.134030988265553,2020-04-09,2789.82,39.84,0.014487378,1
2020-04-07,0.129738827985231,2020-04-13,2761.63,-28.19,-0.010104595,0
2020-04-08,0.149654185844897,2020-04-14,2846.06,84.43,0.030572524,1
2020-04-09,0.156145637710908,2020-04-15,2783.36,-62.7,-0.022030456,0
2020-04-10,0.160826378900215,2020-04-16,2799.55,16.19,0.005816711,1
2020-04-11,0.126464797079008,2020-04-17,2874.56,75.01,0.026793592,1
2020-04-12,0.163384077291362,2020-04-20,2823.16,-51.4,-0.017880997,0
2020-04-13,0.0518240939011817,2020-04-21,2736.56,-86.6,-0.030674847,0
2020-04-14,0.0573357736148434,2020-04-22,2799.31,62.75,0.022930248,1
2020-04-15,0.175353745499377,2020-04-23,2797.8,-1.51,-0.000539419,0
2020-04-16,0.163584995813662,2020-04-24,2836.74,38.94,0.013918078,1
2020-04-17,0.152042362680661,2020-04-27,2878.48,41.74,0.014714073,1
2020-04-18,0.140695730104597,2020-04-28,2863.39,-15.09,-0.00524235,0
2020-04-19,0.128079475907249,2020-04-29,2939.51,76.12,0.026583874,1
2020-04-20,0.101976700160186,2020-04-30,2912.43,-27.08,-0.00921242,0
2020-04-21,0.113359560691747,2020-05-01,2830.71,-81.72,-0.028059043,0
2020-04-22,0.109277260190039,2020-05-04,2842.74,12.03,0.004249817,1
2020-04-23,0.14293949836713,2020-05-05,2868.44,25.7,0.009040574,1
2020-04-24,0.201884491170205,2020-05-06,2848.42,-20.02,-0.006979403,0
2020-04-25,0.150365980453317,2020-05-07,2881.19,32.77,0.011504624,1
2020-04-26,0.138510427645236,2020-05-08,2929.8,48.61,0.016871501,1
2020-04-27,0.145548293391431,2020-05-11,2930.32,0.52,0.000177487,1
2020-04-28,0.17110794684025,2020-05-12,2870.12,-60.2,-0.020543831,0
2020-04-29,0.150418603291531,2020-05-13,2820,-50.12,-0.017462684,0
2020-04-30,0.121781652293463,2020-05-14,2852.5,32.5,0.011524823,1
