"Date","dow30"
2020-03-27,"21,636.78"
2020-03-30,"22,327.48"
2020-03-31,"21,917.16"
2020-04-01,"20,943.51"
2020-04-02,"21,413.44"
2020-04-03,"21,052.53"
2020-04-06,"22,679.99"
2020-04-07,"22,653.86"
2020-04-08,"23,433.57"
2020-04-09,"23,719.37"
2020-04-13,"23,390.77"
2020-04-14,"23,949.76"
2020-04-15,"23,504.35"
2020-04-16,"23,537.68"
2020-04-17,"24,242.49"
2020-04-20,"23,650.44"
2020-04-21,"23,018.88"
2020-04-22,"23,475.82"
2020-04-23,"23,515.26"
2020-04-24,"23,775.27"
2020-04-27,"24,133.78"
2020-04-28,"24,101.55"
2020-04-29,"24,633.86"
2020-04-30,"24,345.72"
2020-05-01,"23,723.69"
2020-05-04,"23,749.76"
2020-05-05,"23,883.09"
2020-05-06,"23,664.64"
2020-05-07,"23,875.89"
2020-05-08,"24,331.32"
2020-05-11,"24,221.99"
2020-05-12,"23,764.78"
2020-05-13,"23,247.97"
2020-05-14,"23,625.34"
