"Date","SP500"
2020-03-26,"2,630.07"
2020-03-27,"2,541.47"
2020-03-30,"2,626.65"
2020-03-31,"2,584.59"
2020-04-01,"2,470.50"
2020-04-02,"2,526.90"
2020-04-03,"2,488.65"
2020-04-06,"2,663.68"
2020-04-07,"2,659.41"
2020-04-08,"2,749.98"
2020-04-09,"2,789.82"
2020-04-13,"2,761.63"
2020-04-14,"2,846.06"
2020-04-15,"2,783.36"
2020-04-16,"2,799.55"
2020-04-17,"2,874.56"
2020-04-20,"2,823.16"
2020-04-21,"2,736.56"
2020-04-22,"2,799.31"
2020-04-23,"2,797.80"
2020-04-24,"2,836.74"
2020-04-27,"2,878.48"
2020-04-28,"2,863.39"
2020-04-29,"2,939.51"
2020-04-30,"2,912.43"
2020-05-01,"2,830.71"
2020-05-04,"2,842.74"
2020-05-05,"2,868.44"
2020-05-06,"2,848.42"
2020-05-07,"2,881.19"
2020-05-08,"2,929.80"
2020-05-11,"2,930.19"
2020-05-12,"2,870.12"
2020-05-13,"2,820.00"
2020-05-14,"2,852.50"
